w,Time,d1,d2,g
0.02,0.1129,0.0006208333574526697,0.002455025624400689,0.9999999999999982
0.04,0.1879,0.001182316344412313,0.0046205553086808146,1.0
0.06,0.2493,0.0017079354691144652,0.00659391855704693,0.9999999999999998
0.08,0.3021,0.0022034683494000454,0.008400649113413339,1.0
0.1,0.3486,0.002671347385010332,0.010052748531133252,1.0
0.12,0.3904,0.0031125966438272103,0.011556648423715695,1.0
0.14,0.4283,0.0035274630612788624,0.012915885608810114,1.0
0.16,0.4631,0.003915676327267697,0.014132312079230828,1.0
0.18,0.4953,0.004276593590387582,0.01520669520145399,1.0
0.2,0.5252,0.00460928407741537,0.01613905634011051,1.0
0.22,0.5532,0.004912555083373649,0.01692893154802927,1.0
0.24,0.5796,0.005184954633607222,0.01757557028980754,1.0
0.26,0.6046,0.005424830563712124,0.018077956925977738,0.9999999999999999
0.28,0.6284,0.005630276728712715,0.018435017845456588,1.0
0.3,0.6513,0.005799226275081264,0.018645508545764133,1.0
0.32,0.6734,0.005929280576405185,0.01870841210302072,1.0
0.34,0.6949,0.006017923108860508,0.01862255595037363,1.0
0.36,0.7159,0.006062292604097909,0.018387101836402034,0.9999999999999846
0.38,0.7365,0.006059343325292517,0.018001255612955968,1.0
0.4,0.7571,0.006005744578492129,0.017464494151521567,1.0
0.42,0.7776,0.005897924649734769,0.016776499972489763,1.0
0.44,0.7978,0.006365998884778896,0.017606652300470742,0.9587450062827486
0.46,0.8171,0.006896877740641769,0.018501953067387018,0.9170505459905653
0.48,0.8354,0.007446842961544004,0.01933285341078898,0.8778266071221509
0.5,0.8529,0.008014831014610624,0.020085519099352998,0.8409356276257126
0.52,0.8694,0.008599387712935046,0.020745357967461655,0.8062505781847313
0.54,0.8851,0.009062289650397062,0.021407941198263652,0.7751599064952754
0.56,0.9,0.009396720818666476,0.022030876715351155,0.7475291555597835
0.58,0.9141,0.009714207404495079,0.022495769085804564,0.7218961288896342
0.6,0.9273,0.0100171589497629,0.022786076333010708,0.698002993523242
0.62,0.9398,0.010308949533283398,0.02288991826389154,0.6755739211064262
0.64,0.9513,0.010593662207637317,0.022800387089963788,0.6543267172254773
0.66,0.962,0.010875806988136776,0.022515356386266776,0.6339840975297132
0.68,0.9717,0.01116006828583335,0.02203700000779694,0.6142823129526862
0.7,0.9803,0.011451106985673361,0.02137116567896177,0.5949766552938776
0.72,0.9878,0.011753427437533938,0.02052674557502934,0.5758438865594081
0.74,0.9941,0.012071307793455584,0.019515153181228543,0.5566820119197878
0.76,0.9989,0.012408780479052979,0.018349899270015083,0.5373083721824945
0.78,1.0021,0.012769659339671066,0.01704631932408885,0.5175563252686084
0.8,1.0036,0.013157608618068408,0.015621404881890137,0.4972710849493307
0.82,1.003,0.013576265172697699,0.014093743105141953,0.47630465149989026
0.84,1.0001,0.014029443148837062,0.012483552945792885,0.4545095463804378
0.86,0.9945,0.014521488652785026,0.010812815616399683,0.4317305424355715
0.88,0.9857,0.01505793644722526,0.00910551505342989,0.4077926338082783
0.9,0.9732,0.01564683076913885,0.007388042711145752,0.38248142237943017
0.92,0.9561,0.016301666700634394,0.005689885911628396,0.3555069524968915
0.94,0.9334,0.017048908641826267,0.004044887920177309,0.32642656990809077
0.96,0.9031,0.017951712880849912,0.002493981571163948,0.29444345362240115
0.98,0.8612,0.017426278864846868,0.0011552248910892524,0.264611025316167
1.0,0.7905,0.016282969787868844,0.0,0.22463757885005067
