memory,Time,omid,zmid2,zmid1,t_bar,o,z2,z1,g,b
0.02,0.7172,0.0006912551476206979,3.247024149839713e-05,0.017267297779932522,3.9195866275304115e-11,4.947554451465992e-11,0.0,0.0057632447355099765,1.0,1.0
0.03,0.7122,0.0007264321741726386,3.552484366891101e-05,0.017692006704905974,1.2256241479288776e-12,3.627276002977326e-11,2.7851824389447883e-12,0.0055126588838454,0.9999999952910708,0.999999999939378
0.04,0.7076,0.0007939207970591991,4.332385647148111e-05,0.01844286755171584,1.442472361895335e-10,2.674332442933528e-10,8.2474625113019e-13,0.0050619383057501355,0.9999999912360241,0.9999999853975907
0.05,0.7033,0.0008642829135781097,4.959587256421017e-05,0.019169384917203436,7.345828012949293e-17,1.126563602008903e-16,2.2582998189926837e-13,0.004622047754352778,0.9999999999999496,0.9999999999999941
0.06,0.6993,0.0009368517760413023,5.950321545263122e-05,0.019858946879623175,2.3753951383929913e-10,1.089750561302014e-14,2.4880740013255375e-15,0.0041947889707052155,0.9999999999826467,0.999999999999461
0.07,0.6974,0.0009762495704195524,6.470616634971466e-05,0.020211580488814763,6.843242448807647e-20,1.0020819446110381e-19,3.0263468784480056e-11,0.003973873088347817,0.9999999960329532,0.9999999958592801
0.08,0.6974,0.0009761758706919551,6.474454228933165e-05,0.020211672809871108,1.4372552092245156e-17,3.02877328639918e-18,1.1247311625668702e-17,0.003973862185469227,0.9999999999999705,0.999999999999992
0.09,0.6974,0.0009762533792200027,6.469054599793484e-05,0.020211612195499943,3.0945768013435926e-12,1.284576616616826e-12,2.7510183982459775e-14,0.003973868982941729,1.0,0.999999999999944
0.1,0.6974,0.0009756027163332683,6.507740341801824e-05,0.020212326138582298,0.0,4.77518309171732e-16,3.0599866348846034e-12,0.00397377598320865,0.9999999943804303,0.9999999906340565
0.11,0.6974,0.0009762263839750456,6.470495105832158e-05,0.020211646566987936,0.0,1.155091642122366e-14,6.048434027399046e-13,0.003973864368919588,0.9999999999978824,0.9999999999999934
0.12,0.6974,0.0009762521770512071,6.46867370566954e-05,0.02021162608156749,0.0,3.814490503735561e-12,6.4550667271097185e-12,0.003973867006254944,0.9999999999998679,0.9999999999974155
0.13,0.6974,0.0009767442850997928,6.487220136873295e-05,0.020209792165911632,0.0,1.6075382307314697e-13,0.0,0.003974106824750428,0.9999999936870135,0.9999999898075864
0.14,0.6974,0.0009762337098605757,6.470828504721632e-05,0.020211617738236026,1.7646386671282705e-12,6.32049079316133e-12,4.047682274506185e-15,0.003973868137052504,0.9999999999998997,0.9999999999999786
0.15,0.6974,0.0009762340665504532,6.471388192947108e-05,0.020211601766570726,0.0,0.0,0.0,0.003973870141802901,1.0,1.0
0.16,0.6974,0.0009762883751993781,6.471256973895454e-05,0.02021145642520379,0.0,0.0,4.573235437156498e-12,0.003973889825981702,0.9999999999994165,0.9999999999998842
0.17,0.6974,0.0009745557403624753,6.484924107283642e-05,0.02021577476396013,5.851570184749471e-16,1.097097427824123e-15,1.0061735180504087e-11,0.003973326624363905,0.9999999999098456,0.9999999999832342
0.18,0.6974,0.0009762502576167861,6.473345892079974e-05,0.020211503985789536,0.0,0.0,8.596125056721798e-15,0.003973883335914798,1.0,1.0
0.19,0.6974,0.0009762535085855231,6.474130893681378e-05,0.020211473533666393,3.6158925375829064e-12,1.6043223270734374e-12,1.0779293456398629e-15,0.003973887400596325,1.0,1.0
0.2,0.6974,0.0009762884259170532,6.458413470236911e-05,0.020211805505592803,1.4261195645712912e-11,4.307979353096495e-12,8.106907039975257e-12,0.00397384354870745,0.999999999851221,0.9999999997583809
0.21,0.6974,0.0009762369198105447,6.466558310794084e-05,0.020211724270043824,0.0,0.0,0.0,0.003973854360244249,1.0,0.999999999998152
0.22,0.6974,0.0009762154170815861,6.470715207941688e-05,0.020211668847485247,1.6405125624577553e-12,1.6488497424009315e-12,8.757267697991548e-15,0.003973861996690936,0.9999999999999993,0.9999999999999994
0.23,0.6974,0.0009763231478744136,6.471235609664063e-05,0.020211364538865243,0.0,0.0,6.6624059188418915e-15,0.0039739013295830425,0.99999999999984,0.999999999999814
0.24,0.6974,0.0009766457895483626,6.444663455048137e-05,0.020211189441459797,1.2801495619362428e-12,3.9344945379489926e-12,6.589933313361835e-14,0.003973931840370441,0.99999999940041,0.9999999999933361
0.25,0.6974,0.0009762372528526178,6.469285327742591e-05,0.020211648152782306,0.0,0.0,1.0128614716893736e-11,0.0039738657948417844,0.9999999651729717,0.9999999999998813
0.26,0.6974,0.0009761358027241631,6.466915981958339e-05,0.02021198704378705,0.0,0.0,0.0,0.003973820361569099,1.0,1.0
0.27,0.6974,0.0009760627484095693,6.463773883056786e-05,0.02021227176782451,4.440483777583411e-12,4.758936175666005e-12,2.719084083925942e-14,0.003973782712714428,0.999999997342143,0.9999999999990433
0.28,0.6974,0.0009762388101841417,6.47093382809083e-05,0.020211601020917368,0.0,0.0,2.2039747790451857e-12,0.003973870341242529,0.9999999999999724,0.999999999999976
0.29,0.6974,0.0009762401189805369,6.471041729467232e-05,0.020211592826425834,3.25168700896969e-12,3.376023457618528e-12,0.0,0.003973872069271216,0.9999999995448,0.999999999999997
weight is ,0.441
0.0,0.7928,0.0009355178510873951,4.212599635732359e-05,0.01786128971263712,3.679299364635867e-20,0.0,1.1249656330721176e-22,0.006420469073038159,0.9346867374681426,0.9891060451979576
0.01,0.7878,0.0009354536710493055,4.214341405198364e-05,0.017861848783915526,0.0,4.625224020934077e-12,0.0,0.006420628185034075,0.9346786770368137,0.9891022713597759
0.02,0.7828,0.000935422560490433,4.214379273469445e-05,0.01786091578421782,4.4176528156315534e-11,5.281548607230305e-11,0.0,0.006420417497918264,0.9346942495871586,0.989107641203966
0.03,0.7778,0.000971937378404947,4.6000563235595926e-05,0.01812039803297412,4.795496006352646e-13,8.793346076492157e-13,6.038780092779563e-13,0.006196459114996958,0.9359869989830601,0.9893617940487829
0.04,0.7731,0.0010512200534318872,5.3543002895631135e-05,0.018752071828286462,1.8971577731188392e-11,1.3212253222355077e-11,8.367905395795575e-12,0.005693008425692584,0.9385269817001572,0.9896674279097992
0.05,0.7688,0.0011339941198308325,6.111814772784228e-05,0.019333696297089517,0.0,7.605151169924915e-17,4.496409171617234e-12,0.005201503497827996,0.9412968661195186,0.9900198945629185
0.06,0.7647,0.0012218914327510198,7.080355455187356e-05,0.01991284141694022,0.0,0.0,1.6619261286569298e-11,0.004733225254056704,0.9432958814643219,0.9903333816158997
0.07,0.761,0.0013111182053500874,8.129308683975698e-05,0.020469500379001613,2.0493413726052114e-12,2.29893782290011e-12,5.611775503972297e-13,0.004279697411011547,0.9451895243717613,0.9905784821182115
0.08,0.7576,0.0014050948761600074,9.316731070753801e-05,0.02101038522719646,2.6042490352701503e-23,1.5077978382643492e-23,1.0207958046608797e-23,0.003844974453321857,0.946645149572506,0.9907833108747264
0.09,0.7569,0.0014259536443219953,9.491099370795706e-05,0.02098064978753617,2.8205027837963e-17,2.5934283000829655e-18,7.405285904689079e-18,0.0037132767753371935,0.9473219970991077,0.9944359771047724
0.1,0.7569,0.0014262732169182501,9.500739525741457e-05,0.020979938879130154,7.920841536657448e-13,6.293835184960501e-13,3.2388929503769046e-12,0.00371349675736368,0.9473160744452204,0.9944336731353663
0.11,0.7569,0.0014263890524035,9.521819533834491e-05,0.020981263996917195,2.6998914153932327e-12,9.174589834132483e-12,0.0,0.003713957568296902,0.9472813828685677,0.9944269566243067
0.12,0.7569,0.0014248062995320247,9.489513581564575e-05,0.020976177028865724,0.0,0.0,0.0,0.0037117175416824426,0.9474463742190563,0.9944516660521787
0.13,0.7569,0.0014263487011667985,9.512679830976309e-05,0.02098050848744002,2.0715342594920645e-12,1.586803105090847e-12,0.0,0.003713777272540447,0.9473028454097968,0.994423845955482
0.14,0.7569,0.0014255481952242454,9.463263228861766e-05,0.020983867977143522,0.0,0.0,0.0,0.003713163508830842,0.9472923329413879,0.9944452323387605
0.15,0.7569,0.001427563337403025,9.467934625621626e-05,0.020978811718482156,4.029532829662862e-12,3.981354591041955e-12,1.0184444925101364e-16,0.003714039366575783,0.947289488744082,0.994434535196905
0.16,0.7569,0.0014258669081242724,9.487285400062671e-05,0.020978320613225323,1.749701952857996e-13,1.35696097551395e-15,2.149084388095338e-16,0.0037128245729167457,0.9473646924689555,0.9944427407165995
0.17,0.7569,0.0014249812311039431,9.622044347094128e-05,0.020987419902547978,3.507220789402047e-14,3.85662685344603e-14,1.0215174093637012e-13,0.003714720635288883,0.9472143469760127,0.9943917403266119
