time,memory,g,a,l_1,l_2,l_3,omid,zmid2,zmid1,tbar_1,o_1,z2_1,z1_1,tbar_2,o_2,z2_2,z1_2
0.3289,0.328898014950114,1,1,0.319839765822215,0.328944454058995,0.328148156886286,0.00441925953391375,0.000748103991805229,0.0525303747877663,0.000573427020946888,0.000408454409679086,1.77536674252369E-05,0.0203621356223496,6.27373745820952E-05,2.99459962327702E-05,8.27190157829308E-23,0.00688213299481627
0.3295,0.329510840037695,1,1,0.321815086861239,0.329505673860821,0.326135564930804,0.00462365813963334,0.000857127846462946,0.0517629995999188,0.000757565999473645,0.000499361724356134,2.43109661045712E-05,0.0197882510869491,0.000165875230273724,0.000104620631102063,3.52166263882073E-06,0.00655561245234195
0.329,0.328944856255802,1,1,0.321152718064595,0.32893770209743,0.328439153012938,0.00434342947407952,0.000744651357132405,0.0521648617962453,0.000629342729219112,0.000452595050546709,3.40725341638679E-06,0.0205288844496775,7.02288682092534E-05,5.82770379510685E-05,4.00572899243076E-07,0.00683706630086911
0.3314,0.319999929469364,1,1,0.308739679536389,0.308576646954422,0.342838248988554,0.00399330413978387,0.000652727599057421,0.0514390285907163,0.000417781830923871,0.00027792818568824,9.69515487517874E-06,0.020966382230292,8.17945887632632E-08,3.44697097417846E-05,1.40172349616742E-07,0.00808700693838411
0.3491,0.300000000007658,1,1,0.289573842008979,0.276403708710215,0.398283198143444,0.00393441890669141,0.000607737081843134,0.0541994436906618,0.000244312532132049,0.000144189294403854,2.69319443333575E-06,0.0210772031432375,1.33516090559915E-06,1.3849845907476E-08,3.16135005615302E-07,0.0123806452497278
0.3683,0.27999961155235,1,1,0.270036504566617,0.239923229456702,0.456518675220682,0.00380437261390263,0.000575418911939833,0.054452550666135,0.000208118849781268,0.000147101437532745,3.3128739764367E-06,0.0214494834966453,7.55542914452261E-06,2.69495427275005E-05,9.18188257386782E-08,0.0173255791442067
0.3886,0.260000002698938,1,1,0.259919119653305,0.197879803517442,0.5172129139248,0.00375107184220324,0.000555616218300417,0.0545637444687159,0.000168674834532644,0.000115791717512208,1.15613134612708E-06,0.0214398372319491,2.31118356407886E-05,0.000175661459661805,7.71337929846917E-06,0.022549285280619
0.41,0.23999918249503,1,1,0.239823079563117,0.151356407914328,0.580082259793405,0.00364180610727163,0.00053773899040958,0.0539743943189007,0.000164560882577677,0.000117093178783164,1.8967768636084E-06,0.0212256206082966,2.14508408896884E-05,0.00019928735059371,1.02792842156693E-05,0.0290875226926051
0.4328,0.219999984755126,1,1,0.20223932125783,0.0986418058041358,0.645562851789108,0.00355459364458697,0.000505776357779187,0.0529680574716338,0.000131407751921976,9.51590346313766E-05,1.05928666285584E-06,0.020750267188856,2.00171052527219E-05,0.000297027548035489,2.24602012349936E-05,0.0362443852450761
0.463,0.199999957244507,1,1,0.199462005458417,0.0515958952633848,0.694481985717632,0.00336585327848406,0.000452096400947531,0.0509506547936213,0.000112558544164607,7.99092988387759E-05,5.46258428715299E-07,0.0198457495248728,2.00072926925053E-05,0.000393645364480097,4.13647209099593E-05,0.041517680886893
0.4955,0.179999983100822,1,1,0.161799927770917,0.0451522664327101,0.743153588081068,0.00423838517027384,0.000714346689050857,0.0593613189715839,0.000231397454355607,0.000178470789105043,7.89279221149396E-06,0.023643723359639,2.23365974350651E-05,0.000223725880569699,1.12473234877775E-05,0.0422448972322191
0.5371,0.159999996129591,1,1,0.140988642419143,0.0722953717669368,0.80532833537923,0.00686113074070229,0.00174530573897506,0.0791439853888817,0.000721956339443599,0.000606080785817584,2.22206969969395E-05,0.0333807970284499,0.000101989958813343,0.000344644280065341,1.81797423662886E-05,0.0366687690326545
0.5987,0.139999306636951,1,1,0.126502268082313,0.0877633010699156,0.814931082271078,0.00846674597487442,0.00262240556691607,0.0875070933374549,0.00120646586702813,0.0010173691019283,5.50883409701675E-05,0.0379107866429673,0.000115053387734491,0.000185072039433959,4.07566210281533E-06,0.0294760536264978
0.6675,0.119999993134087,1,1,0.0973521630526073,0.0792745648239783,0.716735175742841,0.00612630333410937,0.00143120056038519,0.071239778415182,0.000765845051572035,0.000600309530188895,2.3428448541729E-05,0.0291567453078442,5.71688121383743E-05,8.66373091128181E-05,1.46931227897037E-06,0.021521124832965
0.7397,0.0999996622969025,1,1,0.0999300459524729,0.0724267243974856,0.623037886374996,0.00430351977181413,0.000740089059156232,0.0555543934678167,0.00046786870727388,0.000325790177578509,9.87530017896087E-06,0.0217522147849877,2.14761463147321E-05,3.01471396832697E-05,1.79214325876465E-07,0.0144714600440479
