time,memory,g,a,l_1,l_2,l_3,l_4,l_5,omid,zmid2,zmid1,tbar_1,o_1,z2_1,z1_1,tbar_2,o_2,z2_2,z1_2,tbar_3,o_3,z2_3,z1_3,tbar_4,o_4,z2_4,z1_4
0.3241,0.3103710759491794,1.0,1.0,0.28158116826192026,0.2641790554032282,0.29709464887094217,0.2508966202143989,0.21844817967648225,0.014333661304220183,0.004697462560388831,0.09198697599119679,0.003080616378696662,0.0027235079784129483,0.00024631649116154146,0.045704660459934834,0.001023430023056246,0.0011881153296679871,0.0001290317180660817,0.02871692833942946,0.00042649605822170914,0.0006919469493809799,0.00011689661965131347,0.01439259502426304,0.00013150723452587718,0.0005431155327316615,0.0003192241542591261,0.002164669727503347
0.3216,0.3204861199784036,1.0,1.0,0.26177028389988793,0.231331943038394,0.302535577686887,0.3194252483823407,0.2935430059619105,0.01848262076649045,0.008325789747233674,0.10410067053427483,0.004600999278246489,0.004257597051008051,0.0005643989859718909,0.055730407626110236,0.0016323621765242213,0.00175080291124048,0.00019490783562033144,0.03808992816466681,0.0007647366733866698,0.001012625589977658,0.00014351248785050047,0.022967793621076503,0.00036675037806603404,0.0005185070105057812,8.25044533382714e-05,0.004565190512884999
0.3214,0.3208342079738054,1.0,1.0,0.2854195979795088,0.2642372741694039,0.30730803460299183,0.32026935086542324,0.17071943414787877,0.015425949857203016,0.006051384219956744,0.09986104536638268,0.003115317479847539,0.002900487607391818,0.0003042077962347103,0.052000579435085854,0.000746473601128259,0.0006893188409499723,3.2406741971771107e-05,0.030498503331041805,0.00014211678066521164,0.0002535118222039721,1.7831454549566504e-05,0.01633046899809228,7.497416446000587e-05,2.611421854952873e-05,5.31845749933192e-05,0.0002488224689119059
0.3215,0.3198423568072067,1.0,1.0,0.2741696747943634,0.22469577119988252,0.29835189840326937,0.31827920021145134,0.3131895616700677,0.019391830082923493,0.008916129730813365,0.10609729982333176,0.004727193556247765,0.0044038412004438554,0.0005950483056103112,0.05815292267250774,0.001396914838735708,0.001496168080633901,0.00014361783632518233,0.03914443590634526,0.0006508749025749577,0.0009207246113868844,0.00012475530693341246,0.024527487351496183,0.0003697196750625552,0.00044506797173992816,0.0001527248123974579,0.005482422970253032
0.3245,0.2999572407496742,1.0,1.0,0.2786628778138357,0.23816062880968622,0.2754373918903339,0.2829093377739278,0.27276985712216983,0.01571011131413274,0.006132326592072882,0.09791692122128447,0.003365758829761531,0.003034603692275172,0.0003267434045344886,0.05044643717410714,0.0009105153652053093,0.0009762511746317712,7.248704539492234e-05,0.03391225487286888,0.0002968732288948016,0.00043753892440058127,3.88381251733988e-05,0.021523622988061146,9.805380447932236e-05,0.00043217719575064205,0.0003896025599347228,0.004085199022413703
0.3303,0.2799998139914476,1.0,1.0,0.23088597867249488,0.22706900479078476,0.22967728814917499,0.23511923113385938,0.37902327142177483,0.01578193481036934,0.005857468497496124,0.09769080779411894,0.0032167651180646326,0.0030559482677118845,0.0002917558560070545,0.05383716753022404,0.0007254708842042231,0.0008716444917362408,5.5224292153496604e-05,0.0378633245906317,9.72963812411268e-05,0.0001443945103443951,4.884381604184138e-06,0.026343006632931668,6.071561144978035e-05,0.0007933088184432016,0.00024882799918374466,0.01035399057173883
0.3462,0.2599947793633281,1.0,1.0,0.2597540152272472,0.17363414662734217,0.17140104730468375,0.2038444917910282,0.432411327229229,0.010614942672859938,0.0027945109435604126,0.08446715623193411,0.00131480773825259,0.0010919397925531669,2.8436903757430773e-05,0.04136803025206507,0.0002836687461649443,0.0008034454776766567,5.168383374899174e-05,0.04118212307794239,0.00022561649798765384,0.0009632214645071258,0.00022622598788397025,0.029289224655923474,0.00035431941347943664,0.001359729806195662,0.0007592001464542296,0.013159694804128437
0.38,0.23999739822384625,1.0,1.0,0.23339062259692,0.11328561520435752,0.1326209799827088,0.15434296370950149,0.5200035779428726,0.007619077888991597,0.0014626433652423039,0.07343179919568446,0.0005580605824162498,0.0004351263570955096,1.3728255970253207e-05,0.03340593661926222,0.0001262940449365589,0.0008304349814848448,8.677361748527766e-05,0.046909665606470495,0.0002007830107315237,0.0008921677896744322,0.00018859261414600522,0.03460852718259756,0.0004116555306344994,0.0013644189085457341,0.0008358123923451463,0.020304032489150664
0.4233,0.21999615094323755,1.0,1.0,0.19992701514083588,0.07382289398572363,0.08224228468858936,0.10407227599908185,0.6265133243612474,0.006342533079443988,0.0010503529062423492,0.06349886056735521,0.0005991473516327065,0.000471432984982051,8.028464476828491e-05,0.029369914227838245,0.00014566374616100766,0.0010111868456838253,0.0001577197563488548,0.04865938623173632,0.0002151107018135525,0.0008915016522535393,0.00022057898172667172,0.04195452579466667,8.859935447397267e-05,0.00042125321007977293,6.414021107496718e-05,0.03460182838657826
0.4787,0.19999962796444615,1.0,1.0,0.18141816725562565,0.05730697596371904,0.02972741842855554,0.03624227175631633,0.7180990476385137,0.005480450035939674,0.000805746360918068,0.05832774223955308,0.0002966369604309975,0.00022677750402364094,4.002975341846095e-06,0.02566572727811526,9.414280922572981e-05,0.0010872625942073312,0.00014856545399372382,0.043882311263751646,0.00033157377362432567,0.0012889045316063067,0.00042786370099104804,0.04501007569265147,0.0005679073465291114,0.0010005444013471427,0.0006818767660023102,0.04191263913980402
