w,Time,omid,zmid2,zmid1,t_bar,o,z2,z1,g,b,p
0.694,0.9305,0.0028892385416831937,0.00020809568398117196,0.02394583322906613,1.1231673942084415e-06,7.273078259349109e-07,0.0,0.012176524127327198,0.6128575726486266,0.910888204258722,0.035987483456457775
0.696,0.9308,0.0029060376496071326,0.00020978058962889574,0.02395231266240843,1.1752100419189408e-06,7.611195698235881e-07,1.8839867594018565e-12,0.012214558161648934,0.6111926758004681,0.9103971891770715,0.03661485675936906
0.698,0.9311,0.002922671182488676,0.000211422633466544,0.023958417760685198,1.2471986913159728e-06,8.08712489227516e-07,0.0,0.012252525116584435,0.6095320443641287,0.909906628549174,0.03724251548252788
0.7,0.9314,0.002939554840692302,0.00021310281452182676,0.023963806549092734,1.3183248124588256e-06,8.57558174418927e-07,1.122541623402969e-16,0.012290496311776694,0.6078714954917828,0.9094157698716581,0.037868305044580254
0.702,0.9317,0.002956367995944188,0.00021482593795621357,0.023968298793068474,1.3920843439409581e-06,9.040655188919932e-07,0.0,0.012328507355164513,0.6062167952208458,0.9089269864407027,0.03849454833604623
0.704,0.932,0.002973161649219052,0.00021649150407745187,0.02397332486255046,1.4695541390611192e-06,9.558682315414631e-07,1.6324429176570798e-19,0.012366553699980474,0.6045604567819414,0.9084372371402646,0.03912202539313491
0.706,0.9322,0.0029902982221891605,0.00021822097309623552,0.023977480908025588,1.5375515395844455e-06,1.0013440740515325e-06,0.0,0.012404454982715356,0.6029081900829946,0.9079473594119032,0.039749834014741685
0.708,0.9325,0.0030071958142337462,0.00021992478956042,0.02398064666006638,1.6265988827837812e-06,1.0602859115044302e-06,8.663184119178249e-21,0.012442453456506629,0.6012598682425639,0.9074619897994736,0.04037612160889459
0.71,0.9328,0.0030242830714482076,0.00022162897222935965,0.023983712353352046,1.7224519201266879e-06,1.1238750712515587e-06,0.0,0.012480388765368512,0.5996117546235451,0.9069774574524605,0.041004528716757555
0.712,0.933,0.0030415111702300464,0.0002233889693779685,0.023985741898579976,1.8048205480477837e-06,1.1786085302989743e-06,5.170677206470777e-24,0.01251844494883312,0.5979674206969122,0.9064890968293468,0.0416307731697363
0.714,0.9333,0.0030587382338524457,0.00022513834998587893,0.023987851735164687,1.9036579707219635e-06,1.2447111109614438e-06,0.0,0.012556239083403323,0.5963241148024876,0.906003645659619,0.04225751704244123
0.716,0.9336,0.003076124809031804,0.00022690623960703804,0.023989346240618457,2.016877486311444e-06,1.3204853885763655e-06,0.0,0.012594329012000211,0.5946780326394334,0.9055220027133704,0.04288604216184286
0.718,0.9338,0.00309331672696299,0.0002286584148595759,0.02398999781344992,2.1110635721438283e-06,1.3828005395348137e-06,2.0265933568867986e-23,0.012632157517923496,0.5930441824150665,0.9050360655953891,0.04351178470647853
