w,Time,omid,zmid2,zmid1,tbar_1,o_1,z2_1,z1_1,tbar_2,o_2,z2_2,z1_2
0.22,0.2604,0.0009480235174153823,0.000202777808349951,0.03756994132518903,0.00017269564643628,0.00020326001389698852,1.6038009139618988e-05,0.01647086945361448,1.7735607329122398e-06,3.453688575755846e-07,2.154139080976722e-09,0.0019639473503303144
0.24,0.2696,0.0011308234275911287,0.00027371308876033624,0.039589389895351636,0.0002158977590943151,0.00023740241104906667,2.1953791185536836e-05,0.018082765522155927,2.7196270853762608e-08,1.1851492273056566e-08,4.3162096952528765e-14,0.0027314389241652895
0.26,0.278,0.0012641808179238239,0.0002445114847960339,0.04264611329260379,0.00021830922244929198,0.0002828758700905389,2.145148992492818e-05,0.020271276330349988,3.898252841457223e-06,1.2400159669179428e-06,4.3220890198896124e-09,0.0038957479876028955
0.28,0.2856,0.0016435579450172196,0.00035090392045401396,0.04509745351205972,0.0002878840062080296,0.0003641923288501271,3.0245569511084023e-05,0.022898301818824324,9.545702156015323e-07,4.324809542877215e-07,2.697437418418106e-09,0.0054711924794334735
0.3,0.2924,0.0017103585281174974,0.0003459214653567437,0.048133033507378534,0.0002769983629970946,0.00041281609728799514,3.375881318015465e-05,0.02523793383726102,9.411858013974646e-07,4.7004248652220106e-07,1.1463064857230032e-08,0.006863622904901186
0.32,0.2986,0.001859243994023158,0.0003152511331403091,0.04839731532125813,0.0003116119302491664,0.00045754213378609024,4.226271790804033e-05,0.025467760441755645,5.5171113371375285e-06,1.180800783505754e-06,1.0673591938518482e-09,0.006980664492495737
0.34,0.3045,0.00212390042946597,0.00035741068595890633,0.04784446091760864,0.00035387978934284486,0.0004956620761292695,3.384354105065541e-05,0.02571360706626147,1.1003059090689669e-05,6.8200108845195006e-06,7.765232359126267e-08,0.006995448161016032
0.36,0.3104,0.002765886482532891,0.0005424691994329314,0.04584201482994606,0.00047822014722426,0.0005184658642795346,6.64463242093824e-05,0.02602896949769453,4.56128435468836e-07,1.4870272492547308e-07,1.514301162406552e-11,0.007134574582235556
0.38,0.3157,0.002428963462749958,0.0003976632165164368,0.04718654832808508,0.00038759758174447724,0.0004911957261096732,3.097426905897219e-05,0.026265148644961,4.009146733212092e-06,1.9022429473951767e-06,2.7771444160555976e-08,0.007065504633880754
0.4,0.321,0.002896888622211665,0.0004724409813299134,0.04573698051931448,0.00044847767720515466,0.000564035942817949,4.7559550337726145e-05,0.026344008998585494,1.1593792260673169e-09,1.0506666936943021e-11,4.4568865982101136e-09,0.0071500963090478055
