time,memory ,g,a,l_1,l_2,l_3,omid,zmid2,zmid1,tbar_1,o_1,z2_1,z1_1,tbar_2,o_2,z2_2,z1_2
0.3427,0.342739735558147,1,1,0.335590015694008,0.342808656063107,0.342704138414373,0.00499491026327267,0.000755990489782652,0.0497447992131625,0.000755952748567777,0.000510722743442542,2.12045829338126E-05,0.0207997141207064,7.82846460247191E-05,4.62904720266988E-05,1.63207654916636E-07,0.00692484164174845
0.3427,0.342746716362439,1,1,0.335450328931184,0.34279840184439,0.342082487350778,0.00519062264962083,0.000754039521635783,0.0494456217838307,0.000716848367053688,0.000482803651212879,1.8671838803115E-05,0.0207837283359969,7.43815410519643E-05,2.9153721587388E-05,1.2811081478827E-06,0.00691996627245344
0.3432,0.339997026774648,1,1,0.335337839455927,0.336755372698332,0.346489214993028,0.00499918560748163,0.000785668080360522,0.0488356043763462,0.000655002024211088,0.000444529975736275,1.44105784538161E-05,0.0211601644177471,3.20716746787363E-05,1.66550151789853E-05,4.08698007644025E-07,0.00734275599107447
0.3571,0.319999870683097,1,1,0.302301489005946,0.301344233069601,0.39420956500461,0.00451951141166513,0.000541101374197748,0.0511691135427782,0.000199373924577771,0.000143291982199372,2.34435003734314E-06,0.0220479388454773,1.26035592256276E-06,3.67630790525466E-06,0,0.0108550518905228
0.3754,0.299999995571744,1,1,0.298303173749143,0.26855431042842,0.450798355231984,0.00458582271297604,0.000578909852856941,0.051777511736885,0.000211893104468997,0.00014706984608489,2.01529293943911E-06,0.022293200926107,9.30370304148594E-06,2.61917855345623E-05,3.17879001975615E-07,0.0154987767330406
0.3948,0.27999996714574,1,1,0.268522615053889,0.230909284796206,0.509648461984202,0.00461781096169304,0.000579121359232471,0.0519763318820164,0.000208002772051406,0.000142864637789621,1.57098883050587E-06,0.0224089764011578,3.56982607653689E-06,3.98223225187407E-05,1.90535759174377E-06,0.020922417407788
0.4154,0.259999951582691,1,1,0.259709912746654,0.188133062875861,0.570827008581127,0.00454313591093662,0.000561344024770062,0.0519361058742981,0.000172975623453459,0.000122141344855817,1.1476856456942E-06,0.0223895866188883,1.43205369245898E-05,0.000125757769959094,4.8441044183309E-06,0.026785290338395
0.4373,0.23999991975059,1,1,0.239935338422777,0.140340470340548,0.634504100213839,0.00446975500635756,0.000533229651881099,0.0513281598169426,0.000160711670487557,0.000114772390359151,1.06362367196373E-06,0.0221008941556687,1.9711152056056E-05,0.00025861056425469,1.68931678487266E-05,0.0333633734329561
0.4626,0.220000009746498,1,1,0.219880325086548,0.099466910573792,0.693912488890593,0.00455750698337987,0.000576590341833773,0.0525758480636027,0.000138002451075965,9.75259472293704E-05,6.99530837938226E-07,0.0228087215204757,8.9635677007272E-06,0.000219829538939177,1.05420923516375E-05,0.0391856746296296
0.4933,0.199999269382711,1,1,0.198375639205195,0.0713127628298368,0.739924943416485,0.00489031590477382,0.000647303179926605,0.0547738693813755,0.000187156009917111,0.000130894730602042,1.791744503037E-06,0.0238447779698322,2.81207164390938E-05,0.00041021413061576,2.49597242569738E-05,0.0414088333719438
0.5244,0.180000000471309,1,1,0.178838858019506,0.0548150512413108,0.786583589089092,0.00566591905655384,0.000859410037573979,0.0598540693372482,0.000300684111315742,0.000219242574331306,3.29141863091973E-06,0.0266054543833578,5.59048950429914E-05,0.000577962203924707,5.54933979653121E-05,0.0419561598594647
0.5635,0.159999654707943,1,1,0.158574779159459,0.0811612841123434,0.845209963880694,0.00900336235348054,0.00204971261656162,0.0773993585858969,0.000971661828390812,0.000798992864590778,3.13766784675187E-05,0.0366778355773665,0.000137283509549289,0.00039323283213184,1.77203823085157E-05,0.0371129113362772
