w,Time,d1,d2,g,b
0.02,0.1129,0.0006208318435141394,0.0024550286522816043,0.9999999999985145,0.9999999999997947
0.04,0.1879,0.0011823172559733324,0.004620553485429078,1.0,1.0
0.06,0.2493,0.0017079352920449833,0.006593918910916586,1.0,1.0
0.08,0.3021,0.0022034660446751627,0.008400653722924261,1.0,1.0
0.1,0.3486,0.0026713476166406237,0.010052748067839214,1.0,1.0
0.12,0.3904,0.003112593720129644,0.011556654271031832,0.9999999999999999,1.0
0.14,0.4283,0.003527457341960685,0.012915897047428165,1.0,1.0
0.16,0.4631,0.003915666779363893,0.014132331175927349,1.0,1.0
0.18,0.4953,0.004276587502239933,0.015206707378030556,1.0,1.0
0.2,0.5252,0.004609281447643152,0.01613906160007466,0.9999999999999999,1.0
0.22,0.5532,0.004912549111923511,0.016928943491903155,1.0,1.0
0.24,0.5796,0.005184948627738203,0.01757558230161325,0.9999999999999998,0.9999999999999997
0.26,0.6046,0.005424833467328045,0.018077951118773,0.9999999999999843,0.9999999999999956
0.28,0.6284,0.005630284135716541,0.01843500303133483,0.9999999999999962,0.9999999999999997
0.3,0.6513,0.005799217474696687,0.018645526146556103,1.0,1.0
0.32,0.6734,0.005929282770435312,0.0187084077164615,1.0,1.0
0.34,0.6949,0.006017909961931895,0.01862258224451872,1.0,1.0
0.36,0.7159,0.00606228361117932,0.018387119822253193,1.0,1.0
0.38,0.7365,0.006059338011027785,0.018001266241550178,1.0,1.0
0.4,0.7571,0.0060057468362165745,0.017464489636039728,1.0,1.0
0.42,0.7776,0.006033894390005198,0.01715836741835376,0.9914696317432985,0.9984354493095442
0.44,0.7974,0.006518908741817452,0.018094112640480105,0.9547636050068115,0.9912879511049869
0.46,0.8161,0.007014475914280426,0.01898538617701644,0.9202025821674651,0.9839074406876981
0.48,0.8339,0.007519257348691764,0.01982533111541057,0.8875728006631388,0.9763229224490817
0.5,0.8505,0.008031766916887732,0.02060725233158453,0.8566794877080011,0.968565159927807
0.52,0.8662,0.008550398662516714,0.021324606896505425,0.8273432354907853,0.9606670387830174
0.54,0.8808,0.008953981264691192,0.022092588578771714,0.800470624495569,0.9527970935994707
0.56,0.8943,0.0092383825876661,0.022885947578764165,0.7759230787615965,0.9449930106478742
0.58,0.9068,0.009498530565519244,0.02359061140456426,0.752659776479188,0.9371963582765473
0.6,0.9183,0.009733852042121325,0.02419647828487336,0.7304998016995253,0.929461746522089
0.62,0.9287,0.009944135904392028,0.024694262769493255,0.7092642241721806,0.9218471805292486
0.64,0.938,0.010129503531238702,0.025075527889648546,0.6887779743107985,0.9144132436890603
0.66,0.9461,0.010290378255748847,0.025332676317960264,0.6688711838473287,0.9072224636950766
0.68,0.953,0.010427457492133712,0.025458836389642525,0.649380123375058,0.9003398294263554
0.7,0.9587,0.010541697633717442,0.025447742687488298,0.6301473594364144,0.8938333003602315
0.72,0.963,0.010634315514001678,0.025293520553682825,0.6110214409728961,0.88777555123
0.74,0.9659,0.010706811192660972,0.0249903902516785,0.5918561931695456,0.8822462643080112
0.76,0.9673,0.010761046237519499,0.024532414880457293,0.5725084468639452,0.8773358045003793
0.78,0.9671,0.0107993654138901,0.02391300427382268,0.5528360745500398,0.8731504949636643
0.8,0.9652,0.010824830368510133,0.023124408784617887,0.5326941773792406,0.8698202099789356
0.82,0.9614,0.010841614791225229,0.022156934405756775,0.5119302649716947,0.8675098152329397
0.84,0.9555,0.010855697341215982,0.02099781454273547,0.4903771882508067,0.8664365176101383
0.86,0.9473,0.010876130048979563,0.019629602643737122,0.46784176692013085,0.8668973374630798
0.88,0.9365,0.010917421442810077,0.018027294009664428,0.4440876587381381,0.8693140581724115
0.9,0.9229,0.011004409856764721,0.016154140715293773,0.4188018173886952,0.874308877651181
0.92,0.9058,0.011182812008929741,0.013954502543066726,0.39152862036745895,0.8828332159423724
0.94,0.8849,0.011544272261657343,0.011343789625032555,0.3615126706266613,0.8963796761856105
0.96,0.8594,0.01229320631963506,0.008201644265893605,0.3272462464276798,0.9172754882736196
0.98,0.8281,0.013986136290492626,0.004402465662888395,0.2847305320446051,0.9489927766219423
1.0,0.7905,0.016282970383367516,0.0,0.2246375766615355,1.0
