w,Time,omid,zmid2,zmid1,t_bar,o,z2,z1,g,b
0.48,0.8267,0.00119026148540396,5.9498201954911E-05,0.0195365682049245,1.84093327140674E-15,2.23831211930068E-15,1.57668038378378E-18,0.00738365765977777,0.864966272087173,0.975687592321457
0.5,0.8425,0.00133651227832464,7.02087925710717E-05,0.0203209708057541,0,0,0,0.00789370014758913,0.831785688298057,0.968605857348306
0.52,0.8572,0.00149367928715336,8.22680077026004E-05,0.0210464139871955,0,0,0,0.00841352673713509,0.800137037343458,0.96141571587047
0.54,0.8708,0.00166198659222227,9.57566275107609E-05,0.0217066540067859,7.7475296250356E-18,8.89981257728262E-18,9.33486627746202E-17,0.00894218107416568,0.769875876957722,0.954139397688891
0.56,0.8833,0.00184161683176156,0.000110751015367233,0.0222954759721781,3.65888448585719E-18,2.034775767139E-18,1.83604381363627E-22,0.00947862938212916,0.740868744225318,0.946801509108063
0.58,0.8946,0.00203276548715298,0.000127225091129813,0.0228070906394039,1.30102410090839E-08,9.60114717018299E-09,2.51077094688278E-26,0.0100220384811146,0.712975352980568,0.939443113200895
0.6,0.9047,0.00223547216686864,0.00014589739254934,0.0232385436787161,3.71768731135682E-08,2.12299148674762E-08,5.51159882787916E-14,0.0105692623836105,0.686114178072055,0.932008786279005
0.62,0.9136,0.00244955061828347,0.000165539767259847,0.023571988178654,1.87785057797839E-07,1.17228575563718E-07,9.72499246772926E-23,0.0111222158476483,0.660157009324524,0.924685283719885
0.64,0.9213,0.00267564848190592,0.000187065993502052,0.0238142580598515,5.20167219090805E-07,3.31533232870031E-07,0,0.0116767293933431,0.634967242774866,0.917384543006235
0.66,0.9278,0.00291348219962602,0.000210492827435619,0.0239550743173924,1.2126287100825E-06,7.87502320729086E-07,0,0.0122314544375225,0.610449751864757,0.910176573430598
0.68,0.9329,0.0031634663039989,0.000235803650865484,0.023987873513544,2.60039065191495E-06,1.7109291745165E-06,2.28354600796979E-13,0.012783973200537,0.586489589422581,0.903101906453305
0.7,0.9367,0.00342602851876673,0.000263104503056604,0.0239063145679135,5.2319963312898E-06,3.49167914471847E-06,1.07636607485787E-13,0.0133316416511525,0.562960240538803,0.896205742865666
0.72,0.939,0.00370184508150207,0.000292517078731446,0.0237044643651964,9.91862959738664E-06,6.71387054507919E-06,1.17029404728871E-26,0.0138708142567154,0.539732759058172,0.889538460516165
0.74,0.9399,0.00399190130470182,0.000324531566014003,0.0233747039337086,1.79077281548802E-05,1.2321371191835E-05,8.38265824105373E-09,0.0143974820700138,0.5166640988332,0.883158851487321
0.76,0.9391,0.00429870967209727,0.000358842364697723,0.022909119616026,3.09100331138703E-05,2.15570342525037E-05,3.57315594175447E-08,0.0149046498285479,0.493627488078497,0.877130873258306
0.78,0.9367,0.00462335286020098,0.000396372184862553,0.0222999679278678,5.11932556472049E-05,3.63453272864919E-05,1.1346025376197E-07,0.0153876009288103,0.470452741246485,0.87153520135616
0.8,0.9324,0.00496950451960706,0.000437883541331781,0.0215396559620315,8.14116827868411E-05,5.88537073698749E-05,2.86997853892214E-07,0.0158357066990443,0.447011782611532,0.866480296929497
0.82,0.9262,0.00534330192381257,0.000484236232264847,0.0206218641264077,0.000124557551815576,9.16392141599795E-05,6.9216527022982E-07,0.016228471107321,0.423222739742184,0.862110166875749
0.84,0.9178,0.00577206425645678,0.000539425420838351,0.0195557318234268,0.000179534596020199,0.000133026851167606,1.4435379291328E-06,0.0164806223726037,0.399419055303614,0.858802568579477
0.86,0.907,0.00623138190763613,0.000599516802034598,0.0183000328208055,0.000253839195308471,0.000189947878843626,2.92334273624998E-06,0.0166726113083637,0.374935994811318,0.856598899625518
0.88,0.8935,0.00672297553858708,0.000663712968991969,0.0168387831939218,0.000351850171374945,0.00026709109406717,5.74437591453527E-06,0.0167920331430412,0.349650195574207,0.855840704063467
0.9,0.877,0.00724795056714965,0.000729471339734468,0.0151493675104738,0.00047929372979074,0.000371240623232177,1.11054700005287E-05,0.0168202000749449,0.323419932099426,0.857061687840124
0.92,0.857,0.00780590983702455,0.000790574876091201,0.0131957343996791,0.000643383461876161,0.000512751008032925,2.13236587847477E-05,0.0167320595370659,0.296060455934835,0.861162276246297
0.94,0.8328,0.0083963315077822,0.000832343701892464,0.010912953893695,0.000856208857934254,0.000711251628782224,4.16625976790301E-05,0.0164856473772134,0.267247586793647,0.869859746228048
0.96,0.8036,0.00902338822171225,0.000818550087958724,0.00816361038038959,0.00114538096977874,0.00101468429403311,8.72821609117833E-05,0.0160006472976373,0.236253262480404,0.886968903818032
0.98,0.7685,0.00969120046599596,0.000640199620605864,0.00462392716384305,0.00158202555107545,0.00157300911717957,0.000223042660323688,0.0150871957465659,0.201236586560709,0.922719276162554
,,,,,,,,,,
,,,,,,,,,,
Data for table 1.,,,,,,,,,,
,,,,,,,,,,
0.3,0.6482,0.000511689671236131,3.12916383644215E-05,0.0179904718558767,9.50913854767309E-09,4.35783816755817E-09,5.63610118574375E-29,0.00558368942643168,1,1
0.375,0.7272,0.000690693585208367,3.25189270469847E-05,0.0172679659761814,1.04520143378424E-18,1.02949410113247E-18,2.97356540961787E-19,0.00576342350292117,1,1
0.441,0.7928,0.000935451631807453,4.21384536288769E-05,0.0178612337653793,1.16678362363707E-20,9.0531991372931E-22,3.6707427825045E-22,0.00642046298676008,0.934690201876083,0.989104518405824
0.5,0.8425,0.00133650927368784,7.02083325458076E-05,0.0203209697890135,6.53834682573655E-14,6.12626702055409E-14,6.97795392715869E-17,0.00789370319578585,0.831785717677153,0.968605841620135
0.621,0.914,0.00246058281840812,0.000166441480803821,0.0235866014903047,1.84627046321987E-07,1.14716650595324E-07,0,0.0111498932467381,0.658882080420678,0.924320104880073
0.668,0.93,0.0030120258884652,0.000220444481962788,0.0239814929806426,1.66218814675633E-06,1.08381940564251E-06,3.36139139354006E-24,0.0124531946858906,0.600799456182576,0.907331977372983
