time,memory,g,a,l_1,l_2,l_3,omid,zmid2,zmid1,tbar_1,o_1,z2_1,z1_1,tbar_2,o_2,z2_2,z1_2
0.2891,0.28910499057086,1,1,0.278837688761717,0.289156489353911,0.285391459915313,0.00247537151010073,0.000671167894126778,0.0566276605409391,0.000408682777646518,0.000312290766171607,1.0861294186025E-05,0.0182360670078913,5.94035935160111E-05,3.58329148302668E-05,3.8888564023767E-07,0.00652166027397785
0.2892,0.289174306172504,1,1,0.276126125760014,0.289186719411047,0.288080115596314,0.0025283285564014,0.000729336259796159,0.0568559239217325,0.000467250809644665,0.000335935539849199,1.80978364642155E-05,0.0182247641055114,8.71623392610489E-05,7.57647980529299E-05,3.05510367665476E-06,0.00655500019854759
0.289,0.288974643012469,1,1,0.277806138950434,0.28897464434318,0.287363462632725,0.0023980286283887,0.000682006648893844,0.0569205630207946,0.000392343041480914,0.00024792775683649,6.90934436420227E-06,0.0186051602770971,2.80242918499165E-05,7.18394432364379E-06,1.0905788034988E-07,0.00672484914108308
0.2894,0.289381094683209,1,1,0.279350800996854,0.28937688301419,0.283888958248827,0.00249717759675284,0.000672021905564211,0.055685751590549,0.000460392333560503,0.000349394325529747,1.91486827374897E-05,0.0183355297141611,0.000134779958460105,8.07958111506682E-05,1.79168812635669E-06,0.00628832773698601
0.2891,0.289109154143046,1,1,0.272216458464984,0.289128433817237,0.284804401744435,0.00252771885190281,0.000659654378007016,0.0566925321727283,0.000349107781455731,0.000276176225184521,2.23238629350402E-05,0.0182037079605083,2.94760480791961E-05,7.28337612044151E-06,8.14547649921489E-06,0.00656273777245067
0.2916,0.279999945830736,1,1,0.277099725944796,0.268378181380161,0.302708405370127,0.00234071753383714,0.00060792153850576,0.0559582098173713,0.000339141575079992,0.000256474855888607,1.10227111580147E-05,0.018220331067151,1.32232398413146E-05,1.11532983020881E-05,1.37423381248762E-07,0.00799078049046201
0.3087,0.259999876978404,1,1,0.259350446920655,0.228931395485261,0.357313956880856,0.00205937511114219,0.000469881652395992,0.056672835461057,0.000134046264989232,0.000104957654788397,1.76705691346608E-06,0.0187670764469479,1.69946443993087E-05,5.38459168311772E-05,1.92774138978032E-06,0.0120113051449063
0.329,0.23999979015615,1,1,0.23988714972262,0.186754187834289,0.417946432402028,0.00205507048934564,0.000470796496377412,0.0566282033559549,0.000129423457780239,0.000102617878812566,1.53635633992801E-06,0.0185719917218594,2.10304750783607E-05,9.33164804091934E-05,3.30022260032686E-06,0.0171569759170588
0.3502,0.219999546059761,1,1,0.194493741198335,0.138406586628321,0.480479970946633,0.00204280509425443,0.000460143104293509,0.0554478312546267,0.000142210023622371,0.000109752670727276,1.851014014127E-06,0.0182471636100129,2.93528751211911E-05,0.000172311785197804,8.55575214368049E-06,0.0229500077968648
0.3725,0.199999640551406,1,1,0.199576375108402,0.0832055760917536,0.544966324248881,0.00191484301810552,0.000403502204468125,0.0542099967406365,9.71862141793186E-05,7.51712160206571E-05,1.00931120139661E-06,0.017622390559563,9.80301125398593E-06,9.91489160098891E-05,4.77478461780836E-06,0.0301037229151284
0.3982,0.179999973064476,1,1,0.176689519184362,0.0254850608485068,0.597263869579271,0.0017357447696532,0.000340096504486318,0.0499669579334134,8.49687667086955E-05,6.62294694439878E-05,5.88909158628237E-07,0.0162349601015818,1.76729209335213E-05,0.000332871602960239,4.6761344723917E-05,0.035644299773274
