w,Time,omid,zmid2,zmid1,tbar_1,o_1,z2_1,z1_1,tbar_2,o_2,z2_2,z1_2,tbar_3,o_3,z2_3,z1_3,tbar_4,o_4,z2_4,z1_4
0.36,0.3089,0.0030292072329613476,0.0006887131540582955,0.06052593061406338,0.000615525928494678,0.0011347700172018808,0.00015494374662360493,0.037349217582781084,0.0002200101224492879,0.0002028061220410605,1.4003848851722602e-05,0.015384476001307214,4.2449592209472834e-06,1.8551465744245892e-06,3.3959551520328455e-08,0.0016128453482118883,1.309609320548732e-06,0.00040414767054303645,0.0002861110166863603,0.0008609852001103921
0.38,0.3126,0.003752811279751895,0.0007905107019148995,0.06388280856045093,0.0007064694897218273,0.0014076527161079125,0.0001939287678838327,0.041710615931655544,0.00029282394577406437,0.00027468852342613776,1.0031590558872728e-05,0.018481687137088223,5.129581472793464e-07,1.637494011051037e-07,4.009134084937299e-09,0.002176230617216002,2.632621393576095e-07,9.739955754779444e-08,2.356295501091571e-08,0.0014847863303709978
0.4,0.316,0.00382537209364343,0.0008170498914631994,0.0672996060853752,0.0007857396296028584,0.0015778585094437883,0.00021624833616655945,0.04430692191023463,0.0003012957818572202,0.0003083899644010503,2.2432547819937194e-05,0.02071403734225044,3.9344560636413456e-07,1.607112122822717e-07,2.235387019180087e-07,0.00333575279539274,3.470838984132866e-08,3.222141517728198e-07,5.002925719203951e-06,0.0010108357206617179
0.42,0.3193,0.004780125659636102,0.0009735755887255693,0.06441865414604968,0.0009166722488015174,0.0016343007901589938,0.00020287733448772042,0.045424845001156865,0.0003349186421737231,0.00031562524344267014,2.1369491335677214e-05,0.02128725021507966,2.9963923695702323e-06,2.414535321181726e-06,1.6746733096480328e-06,0.003550353748227508,1.8447917518927343e-06,7.546820667567767e-08,1.7612658844214324e-06,0.0004970760334069709
0.44,0.3222,0.005622812961171018,0.0012693097022984485,0.06557177579889971,0.0011911818457054106,0.002099641475750939,0.00025145515580029306,0.04836613541547755,0.00046620556385986903,0.00044331190356810364,2.6579975034979904e-05,0.024170948902532893,3.0740689996746114e-05,1.7050042146956916e-05,9.212000279538247e-08,0.005459770103579121,4.452196141938781e-07,9.218373667975078e-07,2.346963162744213e-08,0.0008467392226647096
0.46,0.325,0.006066662723075585,0.0014634792718415555,0.0642141131724783,0.0013466703326677834,0.0020123205630334785,0.00027528994896773074,0.04967144046903095,0.0004611523164307409,0.00044301903435888044,5.6801310431870124e-05,0.024871953424766582,1.3894712439840312e-05,6.129107821871254e-06,1.4134589630772495e-07,0.006103451895473725,2.5649789019310845e-06,2.0548025541288265e-06,4.931936488039354e-06,0.0014754789976871682
0.48,0.3273,0.006070339034235431,0.0012166393383033333,0.06867934800947913,0.0012059007215783194,0.002499452261006698,0.0004136562065585217,0.051264789395458935,0.0005575473590265603,0.0006050607041039996,4.507929058483933e-05,0.027358601538966857,5.7101849435095993e-05,2.982123611271995e-05,7.326593586297012e-07,0.007747837090464746,1.1217920805979267e-07,4.034505307994735e-07,6.285708672961119e-08,0.001028281567919086
0.5,0.33,0.007311742997643861,0.0014276787318415062,0.07257105183424552,0.001579378245451774,0.0032433288954088883,0.0005440955279176776,0.057016326249438525,0.0008290816684803444,0.0012267307620989329,0.0001391386347553158,0.031845267471610095,0.0001999995229977266,0.00011172000554199348,1.0247472149409184e-06,0.011819926233509545,1.1457411749627197e-08,4.405941071224036e-09,1.7631138572596699e-13,0.0013202808405121714
0.52,0.3318,0.007649570592009426,0.0016525359936881438,0.06465743045349125,0.0015437122500068382,0.0026007984448981236,0.0003670382522831939,0.05507062713732154,0.0005524135183830967,0.0006366357002239237,3.614089591724726e-05,0.03017386547675635,3.98834645491612e-05,5.552686752887974e-06,2.2443583584154378e-08,0.009690366187532393,3.794406051574371e-18,7.518610395288498e-12,4.2491083324488984e-15,0.0009582279560106623
0.54,0.3336,0.009707805360981345,0.0019562582453978255,0.07945053067356811,0.002034291431813691,0.004743996829202214,0.0008139528202295332,0.06776019351091647,0.001162939888270598,0.0016953728288016613,0.0002040931354260005,0.043757672748194254,0.0003289722610761899,0.0002829323530619911,1.827827576821127e-05,0.020100869617208757,9.534034093148506e-08,9.411980131478491e-08,5.492090209973956e-08,0.002588083163178115
0.56,0.3352,0.011655047900779408,0.002891703162994848,0.07185190964883037,0.002731900022132398,0.004744117462443252,0.000869903471763733,0.07121606064715683,0.0012779815187162254,0.001779339787808574,0.00020093034670288904,0.045833748293218304,0.0003589201511384968,0.0003169449854051501,1.2675691286357047e-05,0.021519274912431514,3.329953265402914e-06,2.1827897901446577e-06,9.963481795576307e-06,0.003001385822821516
0.58,0.3365,0.013731414418886359,0.002836473814424226,0.06920197569564306,0.0032041950939726773,0.005627691594752553,0.001189335140907726,0.0715096315023143,0.0016488409496810959,0.002235052617755094,0.00031758776185901466,0.047267704161189104,0.0005257816509577945,0.00040045982453627924,2.7024514731057254e-05,0.023285296556235978,1.5592143742727265e-06,7.643748222838354e-07,2.958250541862142e-14,0.0042325781911714665
0.6,0.3377,0.014144317041082658,0.003052649059704977,0.06976060689322595,0.0030108666962503946,0.00600962814196473,0.001283358791776423,0.07373998120714978,0.0014564092575243127,0.0021600224444827134,0.0002687533005594771,0.05114486391907701,0.00046454609162307803,0.0005063998793677746,2.3229978382148048e-05,0.025144374418687256,6.16296037917305e-06,5.071434197163799e-06,5.7158153400708286e-08,0.005673776555741896
0.62,0.3387,0.014417225573083824,0.003007642179890689,0.06843482864832398,0.003106514459111544,0.006024777264725745,0.0011788668187713775,0.07391301141381258,0.0016352848479900253,0.002337914318756223,0.00028312733607456546,0.049965281205929205,0.0004905414009580765,0.0004716587222031154,2.3694485546223694e-05,0.025283438040973646,2.775652244755076e-12,7.72334709827402e-13,8.124698261818574e-13,0.005606888763485185
0.64,0.3399,0.01620888147272383,0.0025962122981394815,0.06363271138078222,0.003450262901836027,0.006071783668186608,0.0012250299184056869,0.07432649830792831,0.0017541368880182972,0.0023902553765200903,0.0002886480708360421,0.050024039775473775,0.0005516841514269768,0.000504296197576303,1.9516876634369985e-05,0.025276860668208303,3.292245724941087e-11,1.3630266234997163e-11,1.9652691495147795e-11,0.005668212067048627
0.66,0.341,0.016071495374687255,0.0027628749291708763,0.06409290356361606,0.0033609150362107765,0.006409407851061356,0.001270406892470863,0.07391283362491659,0.001632643934305588,0.002265839803747881,0.00024292411688510115,0.05198956071015203,0.00044088252765053484,0.00045996206926295644,2.336723866498249e-05,0.026301230985850545,5.062079605066959e-06,2.973786307050172e-06,4.593552769247458e-08,0.00613928587707809
